2025-04-15 12:23:09 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-15 12:23:09 | INFO | root | [test_login.py:16] - Test_001_Login
2025-04-15 12:23:09 | INFO | root | [test_login.py:17] - Verifying Home page title
2025-04-15 12:23:10 | INFO | root | [test_login.py:24] - Home page title is passed
2025-04-15 12:26:18 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-15 12:26:19 | INFO | root | [test_login.py:16] - Test_001_Login
2025-04-15 12:26:19 | INFO | root | [test_login.py:17] - Verifying Home page title
2025-04-15 12:26:19 | INFO | root | [test_login.py:24] - Home page title is passed
2025-04-15 12:27:31 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-15 12:27:32 | INFO | root | [test_login.py:33] - Verifying Login test
2025-04-15 12:27:43 | INFO | root | [test_login.py:47] - Login test is passed
2025-04-15 12:32:13 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-15 12:32:14 | INFO | root | [test_login.py:16] - Test_001_Login
2025-04-15 12:32:14 | INFO | root | [test_login.py:17] - Verifying Home page title
2025-04-15 12:32:15 | INFO | root | [test_login.py:24] - Home page title is passed
2025-04-15 12:33:37 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-15 12:33:37 | INFO | root | [test_login.py:16] - Test_001_Login
2025-04-15 12:33:37 | INFO | root | [test_login.py:17] - Verifying Home page title
2025-04-15 12:33:38 | INFO | root | [test_login.py:24] - Home page title is passed
2025-04-15 12:33:39 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-15 12:33:40 | INFO | root | [test_login.py:33] - Verifying Login test
2025-04-15 12:33:52 | INFO | root | [test_login.py:47] - Login test is passed
2025-04-15 12:35:04 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-15 12:35:05 | INFO | root | [test_login.py:16] - Test_001_Login
2025-04-15 12:35:05 | INFO | root | [test_login.py:17] - Verifying Home page title
2025-04-15 12:35:06 | INFO | root | [test_login.py:24] - Home page title is passed
2025-04-15 12:35:07 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-15 12:35:08 | INFO | root | [test_login.py:33] - Verifying Login test
2025-04-15 12:35:20 | INFO | root | [test_login.py:47] - Login test is passed
2025-04-15 13:17:53 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-15 13:17:54 | INFO | root | [test_login.py:16] - Test_001_Login
2025-04-15 13:17:54 | INFO | root | [test_login.py:17] - Verifying Home page title
2025-04-15 13:17:54 | INFO | root | [test_login.py:24] - Home page title is passed
2025-04-15 13:17:56 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-15 13:17:57 | INFO | root | [test_login.py:33] - Verifying Login test
2025-04-15 13:18:10 | INFO | root | [test_login.py:47] - Login test is passed
2025-04-15 13:21:42 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-15 13:21:43 | INFO | root | [test_login.py:16] - Test_001_Login
2025-04-15 13:21:43 | INFO | root | [test_login.py:17] - Verifying Home page title
2025-04-15 13:21:44 | INFO | root | [test_login.py:24] - Home page title is passed
2025-04-15 13:21:46 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-15 13:21:47 | INFO | root | [test_login.py:33] - Verifying Login test
2025-04-15 13:21:58 | INFO | root | [test_login.py:47] - Login test is passed
2025-04-15 13:46:58 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-15 13:46:59 | INFO | root | [test_login.py:16] - Test_001_Login
2025-04-15 13:46:59 | INFO | root | [test_login.py:17] - Verifying Home page title
2025-04-15 13:47:00 | INFO | root | [test_login.py:24] - Home page title is passed
2025-04-15 13:47:01 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-15 13:47:02 | INFO | root | [test_login.py:33] - Verifying Login test
2025-04-15 13:47:17 | INFO | root | [test_login.py:47] - Login test is passed
2025-04-15 13:49:53 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-15 13:49:53 | INFO | root | [test_login.py:16] - Test_001_Login
